parcela,bloque,tratamiento_codigo,tratamiento_nombre,area_parcela_surco_m2,plantas_totales_parcela,dds_cosecha,n_muestreo,n_com_muestreo,prop_comercial_n_muestreo,peso_conto_gr,peso_muestra_total_g,peso_muestra_com_g,prop_comercial_peso_muestra,peso_parcela_total_g_obs,peso_parcela_comercial_g_est,rendimiento_total_tn_ha,rendimiento_comercial_tn_ha,peso_bulbo_gr,bloue,num_hojas,longitud_bulbo_mm,ancho_bulbo_mm,num_dientes,ancho_bulbo_mm_clasif
102.0,1,T6,AJO CANETANO,3.0,66,172.0,10,10,1.0,1257.0,413.5,413.5,1.0,1670.5,1670.5,5.568333333333334,5.568333333333334,41.35,1.0,10.3,41.172,52.259,3.8,51.8
103.0,1,T1,INIA 105 DONAJUS,3.0,66,172.0,10,6,0.6,1313.5,312.0,232.5,0.7451923076923077,1625.5,1211.3100961538462,5.418333333333334,4.037700320512821,31.2,1.0,8.8,38.077999999999996,47.071999999999996,9.1,46.5
104.0,1,T3,AJO CHINO,3.0,66,172.0,10,10,1.0,1513.0,596.0,596.0,1.0,2109.0,2109.0,7.03,7.03,59.6,1.0,10.6,45.873000000000005,57.537,4.8,57.2
105.0,1,T2,INIA 104 BLANCO,3.0,66,172.0,10,10,1.0,1189.5,723.0,723.0,1.0,1912.5,1912.5,6.375,6.375,72.3,1.0,10.3,48.694,65.44800000000001,10.7,65.0
106.0,1,T4,AJO KIYAN,3.0,66,172.0,10,8,0.8,1594.5,547.0,441.5,0.8071297989031079,2141.5,1728.4684643510054,7.138333333333334,5.761561547836685,54.7,1.0,11.9,37.456,49.033,6.8,48.5
201.0,2,T4,AJO KIYAN,3.0,66,172.0,10,6,0.6,1669.5,396.5,264.0,0.6658259773013872,2066.0,1375.5964691046659,6.886666666666667,4.5853215636822195,39.65,2.0,14.5,43.952999999999996,47.954,5.0,47.4
202.0,2,T3,AJO CHINO,3.0,66,172.0,10,10,1.0,1689.0,577.0,577.0,1.0,2266.0,2266.0,7.553333333333334,7.553333333333334,57.7,2.0,9.8,40.449,56.251,4.2,55.7
203.0,2,T2,INIA 104 BLANCO,3.0,66,172.0,10,10,1.0,2431.0,650.5,650.5,1.0,3081.5,3081.5,10.271666666666668,10.271666666666668,65.05,2.0,11.9,49.067,61.585,9.5,61.2
204.0,2,T1,INIA 105 DONAJUS,3.0,66,172.0,10,10,1.0,1789.0,470.0,470.0,1.0,2259.0,2259.0,7.53,7.53,47.0,2.0,11.1,38.394999999999996,52.601,8.9,52.2
205.0,2,T6,AJO CANETANO,3.0,66,172.0,10,10,1.0,2493.0,477.0,477.0,1.0,2970.0,2970.0,9.9,9.9,47.7,2.0,11.6,43.469,54.504,7.1,54.1
301.0,3,T6,AJO CANETANO,3.0,66,172.0,10,8,0.8,1576.5,417.0,336.5,0.8069544364508393,1993.5,1608.663669064748,6.6450000000000005,5.362212230215826,41.7,3.0,10.8,41.178000000000004,50.924,6.5,50.5
303.0,3,T4,AJO KIYAN,3.0,66,172.0,10,10,1.0,1678.0,505.5,505.5,1.0,2183.5,2183.5,7.278333333333334,7.278333333333334,50.55,3.0,13.0,40.233,55.20700000000001,8.1,54.7
304.0,3,T3,AJO CHINO,3.0,66,172.0,10,10,1.0,2056.5,641.5,641.5,1.0,2698.0,2698.0,8.993333333333334,8.993333333333334,64.15,3.0,12.8,42.364,57.04600000000001,4.7,56.7
305.0,3,T1,INIA 105 DONAJUS,3.0,66,172.0,10,8,0.8,2136.0,358.0,320.0,0.8938547486033519,2494.0,2229.27374301676,8.313333333333334,7.430912476722533,35.8,3.0,10.5,37.824,49.042,7.8,48.5
306.0,3,T2,INIA 104 BLANCO,3.0,66,172.0,10,10,1.0,2524.5,549.5,549.5,1.0,3074.0,3074.0,10.246666666666668,10.246666666666668,54.95,3.0,12.9,52.306,58.833000000000006,8.3,58.4
401.0,4,T1,INIA 105 DONAJUS,3.0,66,172.0,10,9,0.9,1385.0,410.5,376.0,0.9159561510353228,1795.5,1644.5992691839222,5.985,5.481997563946408,41.05,4.0,10.1,43.795,50.596,6.9,50.2
402.0,4,T2,INIA 104 BLANCO,3.0,66,172.0,10,9,0.9,1870.5,643.5,600.5,0.9331779331779332,2514.0,2346.009324009324,8.38,7.82003108003108,64.35,4.0,11.8,49.111000000000004,57.301,9.1,56.7
403.0,4,T3,AJO CHINO,3.0,66,172.0,10,10,1.0,1632.0,541.0,541.0,1.0,2173.0,2173.0,7.243333333333334,7.243333333333334,54.1,4.0,10.5,47.827,53.825,5.0,53.3
404.0,4,T4,AJO KIYAN,3.0,66,172.0,10,8,0.8,1604.0,458.3,366.5,0.7996945232380537,2062.3,1649.210015273838,6.874333333333334,5.49736671757946,45.83,4.0,12.0,41.096,50.35,5.0,49.9
406.0,4,T6,AJO CANETANO,3.0,66,172.0,10,10,1.0,2534.5,413.5,413.5,1.0,2948.0,2948.0,9.826666666666666,9.826666666666666,41.35,4.0,10.9,41.172,52.259,3.8,51.8
