variable,PC1,PC2,contrib_PC1_pct,contrib_PC2_pct
n_com_muestreo,0.2596983869986971,-0.280832464229914,6.744325220972505,7.886687296544592
prop_comercial_n_muestreo,0.259698386998697,-0.28083246422991365,6.744325220972502,7.886687296544573
peso_conto_gr,0.22406292284214802,-0.12325146601454759,5.020419339256638,1.5190923874735178
peso_muestra_total_g,0.25208031169673883,0.2622573164458615,6.354448354512502,6.877890002938472
peso_muestra_com_g,0.27115284873910434,0.11896385968470814,7.352386737933162,1.4152399911082927
prop_comercial_peso_muestra,0.2487288536411279,-0.3361513663308603,6.186604263362963,11.299774108610423
peso_parcela_total_g_obs,0.2764122059328017,0.027270388395298686,7.640370758863758,0.07436740832304413
peso_parcela_comercial_g_est,0.2828724429441397,-0.13665677688927894,8.001681897718559,1.8675074669766163
rendimiento_total_tn_ha,0.27641220593280175,0.02727038839529908,7.640370758863761,0.07436740832304628
rendimiento_comercial_tn_ha,0.2828724429441397,-0.13665677688927852,8.001681897718559,1.8675074669766047
peso_bulbo_gr,0.25208031169673895,0.2622573164458617,6.354448354512507,6.877890002938485
num_hojas,0.006998037652162668,0.5790584286118947,0.004897253098108639,33.53086637464768
longitud_bulbo_mm,0.27528931671207946,0.2077008982392805,7.578420789580361,4.313966312940395
ancho_bulbo_mm,0.28337574106643354,0.13553033297477113,8.03018106249504,1.8368471156252335
num_dientes,0.05426546391041898,0.33086177984576576,0.29447405734129856,10.946951736270796
ancho_bulbo_mm_clasif,0.2837422075193922,0.13131479824293382,8.050964032797784,1.7243576237582416
